cluster	gene
Bladder cell(Bladder)	Casp12
Bladder cell(Bladder)	Gm12216
Bladder cell(Bladder)	Rhoa
Bladder cell(Bladder)	Pam
Bladder cell(Bladder)	Selk
Bladder cell(Bladder)	Aga
Bladder cell(Bladder)	Peli2
Bladder cell(Bladder)	Lmo4
Bladder cell(Bladder)	Myd88
Bladder cell(Bladder)	Rgl1
Bladder cell(Bladder)	Nfkbiz
Bladder cell(Bladder)	Gpx1
Bladder cell(Bladder)	Herpud1
Bladder cell(Bladder)	Spop
Bladder cell(Bladder)	Lpl
Bladder cell(Bladder)	Trps1
Bladder cell(Bladder)	Boc
Bladder cell(Bladder)	AI597468
Bladder cell(Bladder)	Tex264
Bladder cell(Bladder)	Sigmar1
Bladder cell(Bladder)	Tspan4
Bladder cell(Bladder)	Fundc2
Bladder cell(Bladder)	Cgrrf1
Bladder cell(Bladder)	Sepw1
Bladder cell(Bladder)	Tmem159
Bladder cell(Bladder)	Pkd1
Bladder cell(Bladder)	Adprh
