Ependymal	Oligodendrocyte	Microglia	CA1Pyramidal	Interneuron	Endothelial	S1Pyramidal	Astrocyte	Mural
Cox7a1	Dhcr24	Dnase2a	Fam103a1	Gad2	Gm12191	Gm3230	Hist1h2bm	Sh3bgr
Cpne2	Diablo	Dock2	Fam132a	Gatsl2	Gm12250	Gm5468	Hsd11b1	Sh3pxd2a
Crb2	Dip2a	Dock8	Fam210b	Gfpt2	Gm20748	Gm9899	Hsdl2	Six5
Crocc	Dixdc1	Dram1	Fam60a	Gipc2	Gm5069	Golga7b	Htra1	Slc19a1
Crygn	Dnajb2	Dse	Fam65a	Gldn	Gm5	Gp1bb	Igdcc4	Slc38a11
Csad	Dnajc24	Dsn1	Fat4	Gm10406	Golim4	Gpr133	Il33	Slmap
Daw1	Dpy19l1	Dtx2	Fbn1	Gm14434_loc1	Gpcpd1	Gpr153	Isoc2a	Smad6
Dbi	Dusp15	E230029C05Rik	Fbn2	Gm14434_loc4	Gpr116	Gpr26	Ivd	Snora16a
Dbp	E130308A19Rik	Ebi3	Fgf10	Gm15612	Gpr4	Gpr88	Kcng4	St5
Dcdc2a	Ebp	Egr2	Figf	Gm1604b_loc1	Gpx7	Grik3	Kifc5b	Susd2
Dchs1	Eef1d	Ehd1	Fkbp1a	Gm3020_loc1	Grk5	Grm2	L2hgdh	Susd5
Ddo	Efcab14	Ehd4	Fkbp5	Gm3494_loc2	H2-Q4	Grm8	Lgi4	Tagln
Ddx11	Efnb3	Elmsan1	Fndc4	Gm5087	H2-T24	Gsg1l	Lgr4	Tgfb1i1
Dhx40	Elovl1	Eml3	Foxo6	Gm5607	H2-T9	Gtdc1	Lpcat3	Tgfb3
